numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime
11,11,178,27,3,16
14,15,928,40,91,600
13,13,440,16,16,114
15,12,245,3,9,32
11,12,284,29,12,62
11,11,163,3,5,1
12,14,391,36,49,174
13,13,309,20,15,71
14,14,471,13,36,136
15,14,633,70,41,349
12,12,222,3,21,26
13,14,390,56,43,158
11,14,435,50,17,150
15,14,601,51,81,360
12,11,256,16,0,46
15,11,236,20,16,31
12,10,120,7,7,11
14,11,183,11,5,17
15,15,949,92,82,582
11,14,547,69,35,214
13,15,822,32,69,322
11,11,161,18,5,21
12,11,146,23,7,13
11,14,451,14,31,82
11,11,175,7,16,0
12,15,652,7,90,101
15,11,171,8,4,9
12,13,411,60,9,46
15,15,859,94,31,285
15,12,329,6,9,25
13,15,611,45,21,115
12,13,285,17,21,27
12,14,429,31,15,68
14,15,689,65,31,184
13,13,436,61,3,46
13,12,409,15,16,51
13,12,327,29,12,43
15,14,673,17,88,342
12,11,205,25,7,29
11,13,436,35,22,127
15,15,953,87,161,938
11,14,417,47,53,214
15,12,295,38,13,80
14,15,1093,79,182,1284
15,13,365,10,26,91
15,15,837,9,142,432
11,13,451,65,19,151
13,12,253,18,14,48
12,10,102,9,1,7
15,12,414,24,31,130
12,13,285,37,13,67
14,14,452,56,8,136
14,12,262,30,12,46
11,15,547,34,61,281
15,11,227,3,11,26
11,12,334,34,22,115
12,11,132,13,7,12
14,11,168,7,16,22
14,12,255,34,8,39
14,11,251,28,12,52
14,11,201,19,8,40
15,15,1000,15,161,632
13,13,397,28,37,140
11,13,438,16,34,151
11,12,222,19,16,46
15,13,520,46,35,205
11,12,240,34,15,62
13,14,686,16,76,324
14,14,598,26,44,258
13,11,237,17,13,43
15,11,182,15,9,28
15,14,606,53,48,274
15,11,236,1,9,28
15,13,506,34,53,241
15,12,235,42,9,46
14,14,589,41,58,274
11,11,168,36,5,25
14,15,757,75,79,593
11,12,318,43,16,82
11,14,518,45,58,292
11,13,421,20,21,121
11,12,213,10,10,33
15,12,329,5,27,74
11,12,275,14,20,52
15,11,190,29,6,28
15,15,980,18,147,604
12,15,699,58,85,486
14,11,138,6,5,0
14,11,179,14,16,31
13,15,885,56,105,623
11,11,168,3,6,15
15,12,294,40,0,80
14,11,215,22,7,28
14,11,185,23,0,46
13,15,1026,123,79,920
13,13,355,52,19,96
12,13,362,46,38,131
15,11,210,20,16,42
13,14,607,9,47,222
13,11,230,18,12,36
15,11,190,10,0,31
12,10,109,19,0,16
