numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime,difference,averageDifference,lessThanZero,numberLessThanZero
12,10,93,4,4,11,7,,0,
13,14,527,30,41,216,175,,0,
13,15,856,78,107,766,659,,0,
15,15,964,56,127,778,651,,0,
12,11,125,25,4,13,9,,0,
11,13,356,28,19,118,99,,0,
11,13,400,12,28,99,71,,0,
13,14,720,5,144,293,149,,0,
13,13,440,21,36,150,114,,0,
15,13,322,13,28,114,86,,0,
14,13,390,36,39,248,209,,0,
15,13,547,56,74,446,372,,0,
15,13,337,18,39,186,147,,0,
14,13,557,45,62,393,331,,0,
13,12,326,4,31,92,61,,0,
15,15,764,33,137,916,779,,0,
15,15,688,47,122,789,667,,0,
15,12,325,10,38,128,90,,0,
15,13,348,32,29,135,106,,0,
11,13,353,33,43,172,129,,0,
14,12,229,12,14,52,38,,0,
12,11,243,16,16,67,51,,0,
14,15,748,32,142,702,560,,0,
14,13,345,14,20,119,99,,0,
14,12,263,27,21,98,77,,0,
13,13,396,29,13,189,176,,0,
13,15,713,19,188,603,415,,0,
13,11,115,11,12,16,4,,0,
12,15,616,33,104,480,376,,0,
12,15,550,43,92,505,413,,0,
15,12,326,13,16,98,82,,0,
13,15,677,33,144,556,412,,0,
12,12,206,16,15,57,42,,0,
13,15,594,46,56,365,309,,0,
15,12,302,27,16,108,92,,0,
13,14,589,60,93,450,357,,0,
12,14,468,16,36,213,177,,0,
14,11,266,28,0,77,77,,0,
11,15,631,21,53,301,248,,0,
15,12,371,62,11,135,124,,0,
15,13,415,18,28,130,102,,0,
15,11,249,3,15,36,21,,0,
11,13,445,26,46,180,134,,0,
11,12,317,24,20,84,64,,0,
14,14,558,39,47,264,217,,0,
12,11,189,34,5,28,23,,0,
12,14,522,4,25,148,123,,0,
15,12,249,23,14,73,59,,0,
14,13,385,15,13,87,74,,0,
15,13,512,70,10,185,175,,0,
12,14,385,30,33,167,134,,0,
12,14,591,40,45,306,261,,0,
14,13,337,26,20,99,79,,0,
12,11,193,25,9,32,23,,0,
15,15,699,78,73,542,469,,0,
14,15,670,74,70,420,350,,0,
13,13,361,29,20,96,76,,0,
14,11,243,10,15,40,25,,0,
14,15,834,39,118,582,464,,0,
11,11,201,1,9,20,11,,0,
12,9,78,0,2,3,1,,0,
11,12,245,22,8,38,30,,0,
12,12,238,5,7,35,28,,0,
12,15,603,53,69,356,287,,0,
13,13,479,53,42,203,161,,0,
13,11,179,10,7,25,18,,0,
11,11,165,16,7,22,15,,0,
13,12,264,25,12,59,47,,0,
14,13,536,54,36,240,204,,0,
11,11,184,12,12,25,13,,0,
15,12,245,6,10,36,26,,0,
15,15,882,42,152,685,533,,0,
12,11,152,22,1,13,12,,0,
13,12,260,32,8,50,42,,0,
11,11,206,10,9,33,24,,0,
14,12,170,25,9,26,17,,0,
15,11,215,5,7,26,19,,0,
14,14,434,36,26,144,118,,0,
15,12,385,36,26,129,103,,0,
14,11,204,20,6,32,26,,0,
15,11,278,9,15,50,35,,0,
15,14,433,45,19,127,108,,0,
14,15,867,21,149,606,457,,0,
12,15,780,103,60,678,618,,0,
13,11,152,19,4,17,13,,0,
13,15,594,79,66,404,338,,0,
11,13,353,48,8,92,84,,0,
11,15,783,98,47,531,484,,0,
11,11,123,11,6,16,10,,0,
15,13,475,51,36,213,177,,0,
11,15,816,57,94,780,686,,0,
15,12,300,18,21,73,52,,0,
12,13,266,18,1,29,28,,0,
13,11,152,1,6,13,7,,0,
13,12,344,28,20,90,70,,0,
13,12,207,19,14,43,29,,0,
11,11,183,35,6,35,29,,0,
12,12,222,49,6,37,31,,0,
14,15,798,37,108,520,412,,0,
13,13,514,34,42,215,173,,0,
15,13,548,7,42,166,124,,0,
12,12,312,5,22,58,36,,0,
14,12,285,0,15,41,26,,0,
15,12,234,46,10,51,41,,0,
14,13,520,40,27,205,178,,0,
15,13,449,21,31,142,111,,0,
12,11,230,14,12,38,26,,0,
13,11,208,27,5,33,28,,0,
13,11,193,20,6,33,27,,0,
11,15,649,33,82,429,347,,0,
12,12,302,27,15,73,58,,0,
11,13,414,55,3,76,73,,0,
12,14,544,27,44,204,160,,0,
14,13,403,39,16,91,75,,0,
11,12,198,20,5,23,18,,0,
15,15,871,100,22,345,323,,0,
11,12,261,9,10,25,15,,0,
15,11,308,15,11,41,30,,0,
13,15,703,26,45,217,172,,0,
15,15,721,28,59,235,176,,0,
12,12,177,2,5,9,4,,0,
14,13,354,38,21,190,169,,0,
13,15,914,66,231,1335,1104,,0,
11,14,466,18,81,286,205,,0,
14,11,225,17,18,62,44,,0,
12,14,486,68,38,454,416,,0,
14,12,277,34,17,87,70,,0,
14,15,799,76,190,1347,1157,,0,
14,12,245,0,22,63,41,,0,
13,12,228,20,16,94,78,,0,
15,14,478,52,86,487,401,,0,
12,11,137,21,5,29,24,,0,
11,14,399,63,44,314,270,,0,
15,12,303,8,21,90,69,,0,
13,15,612,26,96,415,319,,0,
14,15,996,78,213,1525,1312,,0,
15,15,907,53,244,1112,868,,0,
15,11,203,0,12,32,20,,0,
12,14,685,43,103,650,547,,0,
13,14,493,63,28,297,269,,0,
13,11,143,0,16,16,0,,1,
15,15,832,80,85,656,571,,0,
13,13,386,12,42,112,70,,0,
12,11,173,3,6,17,11,,0,
15,15,767,78,96,592,496,,0,
12,13,307,27,7,73,66,,0,
12,15,668,117,14,277,263,,0,
13,13,414,50,28,203,175,,0,
13,14,439,46,37,195,158,,0,
14,15,849,34,108,529,421,,0,
12,15,518,57,29,232,203,,0,
14,12,253,31,6,45,39,,0,
14,14,546,20,61,231,170,,0,
13,15,906,72,141,834,693,,0,
15,12,266,0,23,39,16,,0,
14,15,871,27,142,578,436,,0,
12,11,219,11,15,45,30,,0,
14,12,400,19,22,105,83,,0,
11,12,361,39,15,93,78,,0,
15,15,748,80,50,527,477,,0,
12,11,155,4,7,15,8,,0,
11,14,445,43,50,190,140,,0,
13,11,118,0,3,8,5,,0,
13,12,237,10,7,34,27,,0,
11,13,415,29,26,146,120,,0,
14,12,309,9,18,67,49,,0,
11,15,724,74,81,554,473,,0,
14,13,494,42,29,199,170,,0,
12,11,185,1,8,17,9,,0,
15,15,897,65,104,735,631,,0,
11,11,202,18,7,37,30,,0,
14,11,195,19,9,39,30,,0,
14,11,178,9,4,18,14,,0,
11,14,468,6,58,123,65,,0,
15,13,411,29,20,129,109,,0,
15,12,408,30,19,130,111,,0,
15,13,446,44,33,184,151,,0,
12,14,675,38,55,308,253,,0,
15,12,292,31,12,71,59,,0,
14,11,245,10,13,40,27,,0,
12,15,538,70,34,265,231,,0,
11,12,245,20,18,59,41,,0,
14,11,122,7,1,9,8,,0,
12,14,618,39,59,302,243,,0,
14,15,595,29,70,349,279,,0,
11,12,295,43,18,66,48,,0,
15,12,276,15,15,59,44,,0,
12,14,503,44,35,218,183,,0,
14,12,376,27,32,118,86,,0,
13,11,188,8,8,24,16,,0,
14,12,319,38,6,58,52,,0,
15,11,173,29,3,20,17,,0,
12,15,770,35,54,393,339,,0,
12,11,173,19,6,24,18,,0,
11,12,131,24,4,17,13,,0,
11,13,264,46,18,76,58,,0,
12,14,329,13,13,66,53,,0,
12,14,512,35,49,239,190,,0,
15,14,762,45,72,444,372,,0,
13,11,195,17,4,25,21,,0,
12,15,763,42,60,379,319,,0,
15,11,220,0,8,16,8,,0,
15,15,744,80,31,273,242,,0,
11,13,413,67,14,99,85,,0,
13,15,671,72,41,293,252,,0,
13,14,686,67,40,325,285,,0,
12,14,492,4,27,84,57,,0,
12,14,424,27,12,72,60,,0,
15,15,1118,137,49,499,450,,0,
13,12,270,26,7,27,20,,0,
15,15,776,16,58,170,112,,0,
11,15,537,24,31,96,65,,0,
13,15,700,72,26,197,171,,0,
13,10,130,7,2,4,2,,0,
15,14,663,47,31,189,158,,0,
14,12,220,25,2,16,14,,0,
14,11,135,3,3,4,1,,0,
11,13,353,41,7,50,43,,0,
12,11,216,23,3,14,11,,0,
12,15,842,81,41,289,248,,0,
12,14,534,36,14,94,80,,0,
15,11,129,9,2,6,4,,0,
15,12,319,9,10,28,18,,0,
11,13,297,21,10,34,24,,0,
15,11,129,11,2,5,3,,0,
15,15,906,4,55,196,141,,0,
12,12,191,16,6,12,6,,0,
15,11,137,10,3,8,5,,0,
15,15,657,65,32,189,157,,0,
15,15,940,56,56,431,375,,0,
13,14,356,26,11,42,31,,0,
11,11,198,22,3,15,12,,0,
11,11,100,8,1,2,1,,0,
15,14,497,38,14,81,67,,0,
