numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime,difference,averageDifference,lessThanZero,numberLessThanZero
11,12,269,36,7,51,44,,0,
13,15,690,52,97,490,393,,0,
11,12,293,11,15,56,41,,0,
11,13,449,25,34,147,113,,0,
15,15,739,81,75,560,485,,0,
15,12,302,26,19,78,59,,0,
12,11,175,2,7,16,9,,0,
12,12,220,30,3,41,38,,0,
15,15,797,90,71,577,506,,0,
14,15,772,71,102,602,500,,0,
11,13,213,10,18,37,19,,0,
12,11,174,22,5,29,24,,0,
11,11,155,5,6,15,9,,0,
11,13,317,21,29,100,71,,0,
15,15,586,4,54,206,152,,0,
12,12,271,4,18,41,23,,0,
12,14,549,24,72,271,199,,0,
15,11,208,21,8,37,29,,0,
15,13,463,37,45,204,159,,0,
12,15,531,43,39,258,219,,0,
15,14,538,29,44,245,201,,0,
13,12,301,15,17,86,69,,0,
11,11,155,20,4,22,18,,0,
11,13,301,28,19,89,70,,0,
14,15,827,65,116,700,584,,0,
13,11,114,14,3,12,9,,0,
15,13,539,26,62,239,177,,0,
13,11,182,18,5,24,19,,0,
12,12,266,27,14,76,62,,0,
13,14,726,33,124,558,434,,0,
14,13,379,29,27,112,85,,0,
13,11,242,15,13,55,42,,0,
12,12,269,25,5,46,41,,0,
12,11,182,15,4,22,18,,0,
12,12,361,38,19,106,87,,0,
13,13,363,59,38,135,97,,0,
15,15,993,109,86,827,741,,0,
12,13,409,16,15,106,91,,0,
15,14,612,43,84,349,265,,0,
11,14,448,26,45,183,138,,0,
15,12,240,33,14,53,39,,0,
13,12,332,3,27,57,30,,0,
15,14,519,16,34,200,166,,0,
13,12,307,0,23,52,29,,0,
15,12,285,45,9,60,51,,0,
14,13,391,23,12,109,97,,0,
13,12,290,42,16,47,31,,0,
12,14,618,81,31,278,247,,0,
14,11,233,30,16,31,15,,0,
15,12,354,33,11,78,67,,0,
11,14,465,28,30,172,142,,0,
14,15,706,47,83,444,361,,0,
15,12,353,36,16,127,111,,0,
15,13,527,43,15,209,194,,0,
11,13,372,42,15,108,93,,0,
15,14,678,88,29,317,288,,0,
12,12,340,16,31,79,48,,0,
13,15,753,78,78,527,449,,0,
12,14,614,66,67,315,248,,0,
14,11,219,15,0,50,50,,0,
15,13,370,35,8,88,80,,0,
13,15,842,75,135,766,631,,0,
14,13,560,24,53,260,207,,0,
11,10,99,9,0,15,15,,0,
14,15,801,68,109,628,519,,0,
11,11,227,14,0,31,31,,0,
13,12,153,5,7,14,7,,0,
14,11,152,25,0,16,16,,0,
12,13,341,6,31,75,44,,0,
14,15,1022,90,119,858,739,,0,
14,14,477,53,47,247,200,,0,
12,13,453,26,30,147,117,,0,
14,13,434,26,15,125,110,,0,
11,13,313,11,5,63,58,,0,
12,13,382,16,18,109,91,,0,
13,11,153,7,6,15,9,,0,
14,13,439,22,39,133,94,,0,
