15,12,261,28,13,61,46
15,12,286,44,12,76,30
13,14,487,0,26,166,41
14,14,682,67,20,401,185
13,15,719,70,72,646,165
14,13,361,27,19,147,45
13,11,270,38,7,81,26
11,14,591,28,22,281,160
11,12,239,25,3,50,40
13,13,492,58,16,224,65
13,15,782,71,44,753,234
13,11,223,18,15,35,16
13,15,814,101,29,605,178
13,11,185,20,7,51,15
11,14,288,0,16,57,23
14,15,679,57,48,470,191
12,13,369,24,26,198,19
14,12,278,18,8,57,28
13,15,679,47,73,518,143
11,14,284,20,8,75,35
15,12,240,31,6,54,39
12,14,581,62,44,341,96
15,12,351,0,26,85,10
13,12,300,28,1,52,19
12,12,243,9,10,53,19
15,12,257,28,4,42,46
13,13,240,18,2,34,33
13,11,260,40,1,44,29
12,12,270,29,4,57,27
14,15,716,52,70,553,100
15,15,1027,140,60,972,164
15,14,559,63,41,332,93
12,12,230,11,9,77,14
13,13,470,50,15,207,87
15,11,178,13,5,30,12
12,14,469,34,44,274,57
12,15,739,62,75,705,144
14,15,531,49,44,358,101
13,12,212,13,10,41,14
11,12,255,24,11,62,23
12,14,690,17,67,337,75
12,13,412,6,33,142,32
15,13,573,48,47,347,64
13,12,309,52,10,86,28
15,15,893,22,120,578,226
14,14,686,56,31,401,120
14,12,296,0,19,59,10
12,11,208,4,10,40,6
11,13,194,27,2,36,37
13,14,469,24,30,189,80
15,14,594,4,52,273,53
12,14,442,27,34,211,57
11,13,351,63,11,109,53
12,11,131,4,4,14,5
15,11,250,11,5,56,14
13,15,758,8,65,332,82
12,14,529,24,48,256,38
13,14,457,42,36,208,42
12,12,321,35,3,66,19
12,11,174,28,0,18,13
15,13,437,1,26,105,34
12,12,374,29,26,131,27
14,15,1061,19,165,876,129
12,12,225,14,29,57,14
13,13,379,14,20,139,36
13,15,683,46,45,458,171
11,11,164,23,4,29,15
14,11,230,29,4,35,18
14,13,418,16,35,156,35
14,13,442,6,18,143,67
11,13,343,51,16,124,52
13,11,209,18,7,44,15
14,14,567,36,49,255,97
12,15,732,31,95,535,91
14,15,665,81,21,368,211
15,11,218,0,7,33,14
13,12,176,5,4,21,15
15,13,452,15,30,152,60
15,11,235,36,6,39,21
15,15,805,74,102,792,139
15,14,669,34,31,325,91
12,14,431,33,35,200,57
11,11,236,16,13,54,13
11,14,518,39,37,279,64
