[0m[[0minfo[0m] [0mLoading project definition from /home/admin/programs/BasisUpdate/project[0m
[0m[[0minfo[0m] [0mSet current project to CanonicalDirectBasis (in build file:/home/admin/programs/BasisUpdate/)[0m
[0m[[0minfo[0m] [0mRunning basis.StatisticsGeneratingExample [0m
13,14,472,50,32,76,62
15,14,580,4,69,63,24
11,13,377,44,16,46,37
11,13,357,29,14,38,27
13,12,344,23,15,34,28
15,14,722,76,20,137,100
15,11,216,24,3,12,14
11,14,425,10,37,51,17
12,15,662,95,29,134,171
15,15,853,13,111,182,48
13,12,350,5,25,31,16
13,11,217,9,15,15,4
15,11,242,36,3,16,14
13,15,633,65,45,160,76
15,15,800,14,102,155,73
15,14,527,6,57,79,35
14,15,621,10,62,91,56
14,13,328,32,10,31,41
14,12,297,9,22,21,13
15,13,431,24,39,63,27
13,15,417,33,35,79,70
15,13,292,28,11,27,27
13,14,441,8,21,47,34
15,11,201,14,10,13,11
13,12,334,11,20,30,17
15,11,261,10,17,19,20
15,14,672,100,30,147,101
11,12,197,33,8,16,16
12,12,107,12,6,4,4
12,15,540,28,45,104,51
15,15,1039,98,84,355,211
15,12,323,41,16,30,30
13,15,857,62,92,236,145
12,13,531,67,18,91,42
13,12,309,27,14,32,27
11,15,797,86,44,216,120
15,11,221,26,9,16,16
11,15,731,77,73,261,96
15,14,534,52,55,126,109
14,11,164,20,2,7,11
12,12,375,37,25,52,27
13,14,487,22,40,70,43
12,12,343,34,14,39,32
13,12,242,12,10,17,8
14,15,753,16,91,144,73
12,12,331,3,21,23,9
11,11,164,16,1,4,8
14,12,210,27,10,12,17
11,14,466,43,26,69,51
13,11,137,21,2,5,8
12,11,122,9,5,5,5
15,14,374,49,25,53,69
15,13,329,40,25,51,18
11,12,235,23,16,24,19
15,13,394,13,16,38,28
13,14,498,74,27,77,99
12,15,909,75,95,326,76
15,15,728,30,75,150,73
14,13,248,27,9,19,26
11,11,194,15,5,9,7
12,13,430,58,54,51,27
14,12,269,46,1,12,23
14,15,970,31,132,284,105
11,12,240,27,6,15,19
13,14,550,26,48,104,58
14,12,268,25,11,26,19
14,15,748,14,92,169,60
14,14,472,37,44,79,68
15,13,353,19,23,41,35
13,15,784,61,83,243,95
12,14,555,80,13,97,115
11,11,184,10,7,8,5
14,12,230,23,6,22,23
11,13,330,45,15,40,40
11,13,374,45,17,46,40
15,13,444,2,30,42,18
13,15,840,86,65,259,137
13,15,678,8,78,110,49
15,11,131,1,4,3,5
15,11,163,8,9,8,6
14,13,315,10,15,29,23
12,13,335,27,11,30,35
13,11,218,18,11,17,12
13,13,311,27,12,28,40
12,11,187,18,5,10,9
15,12,305,9,17,25,17
11,12,319,3,20,20,9
15,13,452,26,16,52,42
11,13,400,23,35,51,24
13,12,289,12,13,21,16
12,14,624,52,43,108,61
11,11,174,20,7,11,8
11,11,248,39,7,24,8
11,11,94,4,2,3,3
13,13,448,29,37,68,25
13,12,180,22,5,12,9
11,12,208,19,7,12,16
14,14,428,49,28,70,71
15,15,749,33,38,149,112
13,15,789,61,83,216,75
13,11,185,0,7,7,6
12,13,285,25,18,35,21
13,15,959,27,164,274,88
14,15,1008,55,163,370,171
12,13,398,14,30,59,20
14,13,501,16,50,62,27
11,11,143,2,4,5,4
14,12,362,26,23,48,31
14,11,173,30,1,7,11
11,13,421,52,27,76,32
14,14,753,20,81,146,44
12,14,523,2,55,52,29
13,12,287,48,9,27,32
12,13,328,29,13,37,39
15,10,149,20,2,5,6
15,12,288,23,10,24,21
15,13,380,18,25,44,40
14,14,581,50,36,108,82
11,11,143,14,5,6,13
12,12,256,20,5,17,31
14,13,342,59,10,36,37
14,12,349,23,10,32,42
14,12,319,57,3,21,28
14,13,364,12,15,27,21
14,15,828,98,65,249,116
15,13,387,44,17,80,44
14,12,371,8,20,32,20
13,13,521,49,23,96,72
14,11,205,29,11,19,10
15,12,344,41,10,38,28
11,13,408,3,27,33,11
11,13,379,43,20,46,30
14,13,438,40,13,52,57
11,14,464,48,38,101,44
11,11,139,4,5,6,6
14,10,117,13,2,3,4
11,12,279,18,13,26,21
11,11,163,23,3,6,13
12,14,376,37,29,58,55
11,13,444,57,22,70,58
11,11,155,19,8,11,9
11,14,482,32,27,62,41
12,13,363,14,27,35,23
13,14,569,27,62,92,45
15,11,262,2,15,14,7
13,12,313,12,13,35,19
13,11,144,22,3,6,10
13,12,236,8,16,15,11
15,13,247,14,10,17,17
12,15,638,25,48,115,45
14,13,357,41,20,51,43
14,14,471,41,21,72,63
15,14,447,30,22,53,44
12,11,162,13,5,7,8
15,12,238,16,9,19,14
12,15,799,65,50,192,81
14,12,269,34,4,16,21
13,14,579,89,22,103,103
14,15,874,56,100,262,99
13,11,190,24,5,10,12
14,14,400,10,31,43,32
12,11,163,24,4,7,9
15,13,534,60,26,85,39
13,14,490,68,48,99,73
12,10,50,4,1,1,2
13,14,435,59,38,74,43
13,11,178,22,2,6,12
11,12,350,44,19,37,25
12,15,738,99,49,227,167
11,15,475,32,47,82,69
14,11,145,9,4,6,11
12,12,222,30,3,11,28
15,15,737,31,87,203,107
12,11,167,22,6,11,8
13,11,163,24,5,10,9
11,11,201,24,6,12,11
14,15,945,13,154,238,76
12,13,371,3,23,47,14
15,15,764,78,17,133,156
13,11,129,13,2,6,8
13,12,298,29,6,21,27
14,14,557,57,41,101,89
14,12,358,20,22,39,21
15,13,389,6,26,37,25
12,11,187,23,7,15,13
13,14,468,91,18,72,95
15,15,982,20,116,238,63
12,14,627,30,59,122,58
15,14,567,24,44,80,69
11,11,169,19,7,10,11
